Name	Link	Family	Max Thickness (%)	x-Locationof Max Thickness (%)	Camber (%)	Data Sources	Cl max	Cl/Cd max	Cd @ Cl=0.1	Cd @ Cl=0.4	Cd @ Cl=0.6
AH 79-K-132/20	AH 79-K-132/20	Althaus	13.2	39.7	3.7	JF XF	1.31	142	0.006	0.006	0.006
AH 79-K-135/20 B	AH 79-K-135/20 B	Althaus	13.5	39.7	3.1	JF XF	1.32	132	0.006	0.005	0.005
AH 79-K-143/18	AH 79-K-143/18	Althaus	14.3	41.7	2.9	JF XF	1.37	197	0.005	0.004	0.004
AH 80-129	AH 80-129	Althaus	12.9	41.7	4.1	JF XF	1.17	208	0.005	0.004	0.004
AH 80-136	AH 80-136	Althaus	13.6	35.8	3.4	JF XF	1.22	131	0.006	0.006	0.006
AH 80-140	AH 80-140	Althaus	14	30.1	4.4	JF XF	1.68	197	0.006	0.005	0.005
AH 81-131	AH 81-131	Althaus	13.1	41.7	2.8	JF XF	1.03	105	0.005	0.005	0.006
AH 81-K-144 W-F KLAPPE	AH 81-K-144 W-F KLAPPE	Althaus	22	17	1.1	JF XF	1.82	84	0.005	0.007	0.008
AH 81-K-144/17	AH 81-K-144/17	Althaus	14.5	39.7	4.2	JF XF	1.46	208	0.005	0.004	0.004
AH 82-150 A	AH 82-150 A	Althaus	15	41.7	3.3	JF XF	1.45	140	0.007	0.005	0.005
AH 82-150 F	AH 82-150 F	Althaus	15	43.8	3.6	JF XF	1.35	156	0.006	0.004	0.004
AH 83-150 Q	AH 83-150 Q	Althaus	15	39.7	4.1	JF XF	1.67	291	0.006	0.006	0.005
AH 83-159	AH 83-159	Althaus	16	41.7	3.8	JF XF	1.5	157	0.006	0.005	0.005
AH 85-L-120/17	AH 85-L-120/17	Althaus	12.1	43.8	0	JF XF	0.88	99	0.004	0.005	0.102
AH 88-K-130/20	AH 88-K-130/20	Althaus	13	43.8	3.9	JF XF	1.43	186	0.006	0.006	0.005
AH 88-K-136/16	AH 88-K-136/16	Althaus	13.6	43.8	3	JF XF	1.24	118	0.005	0.005	0.006
AH 93-156	AH 93-156	Althaus	15.7	39.7	3.8	JF XF	1.55	154	0.007	0.005	0.005
AH 93-157	AH 93-157	Althaus	15.7	39.7	3.6	JF XF	1.6	168	0.007	0.005	0.005
AH 93-K-130/15	AH 93-K-130/15	Althaus	13.1	41.7	3.6	JF XF	1.27	102	0.007	0.005	0.006
AH 93-K-131/15	AH 93-K-131/15	Althaus	13.1	41.7	3.6	JF XF	1.28	109	0.005	0.004	0.006
AH 93-K-132/15	AH 93-K-132/15	Althaus	13.2	41.7	3.5	JF XF	1.28	102	0.006	0.006	0.007
AH 93-W-145	AH 93-W-145	Althaus	14.5	33.8	3.9	JF XF	1.63	128	0.009	0.008	0.008
AH 93-W-174	AH 93-W-174	Althaus	17.4	33.8	3.9	JF XF	1.8	180	0.008	0.007	0.007
AH 93-W-215	AH 93-W-215	Althaus	21.2	33.8	3.1	JF XF	2.06	173	0.007	0.007	0.006
AH 93-W-257	AH 93-W-257	Althaus	25.7	32	1.8	JF XF	1.97	80	0.015	0.014	0.012
AH 93-W-300	AH 93-W-300	Althaus	30	28.3	1.1	JF XF	2.02	44	0.021	0.019	0.02
AH 94-145	AH 94-145	Althaus	14.6	37.7	5.5	JF XF	1.89	147	0.009	0.008	0.008
